=== SHEET: Mapeamento Entrega As Built ===
Total rows: 332

HEADERS: ["Número","Data","Entrega","Responsável","Edificação","Disciplina","Arquivo Entregue","Formato","Modelo?","Modelo Base","Modelo Final","Observações","Ação","Coluna5","Coluna2","Coluna3","Coluna1"]
ROW 70: [70,45925,"012. SM 39 - 25.09.2025","OCLE","Prédio Produção","Utilidades","NEO-23001-AS-17-UTI-MO 11.09-001-R25","rvt","Sim","NEO-23001-PE-17-UTI-MO-001-R25","NEO-23001-AS-UTI-001-PROD1-R00","","","","","",""]
ROW 71: [71,45939,"013. SM 41 - 09.10.2025","OCLE","?","Instalações Elétricas","NEO-23001-AS-BAR-001-MOD 25.09-R03","rvt","Sim"," ","","","","","","",""]
ROW 72: [72,45939,"013. SM 41 - 09.10.2025","OCLE","Prédio Produção","Instalações Elétricas","NEO-23001-AS-ELE-001-MOD PRODUCAO 09.10-R03","rvt","Sim","NEO-23001-PE-ELE-001-MOD PRODUCAO-R03","NEO-23001-AS-ELE-001-PROD1-R00","","","","","",""]
ROW 73: [73,45939,"013. SM 41 - 09.10.2025","OCLE","Implantação","Instalações Elétricas","NEO-23001-AS-ELEMT-001-MOD IMPLANTAÇÃO 09.10-R00","rvt","Sim"," ","","","","","","",""]
ROW 74: [74,45939,"013. SM 41 - 09.10.2025","OCLE","?","Instalações Elétricas","SPN.ELE.00-AS-.001-R04-MOD 09.10","rvt","Sim"," ","","","","","","",""]
ROW 75: [75,45939,"013. SM 41 - 09.10.2025","OCLE","Prédio Produção","CFTV e Lógica","NEO-23001-AS-LOG-001-MOD PRODUCAO 09.10-R01","rvt","Sim","NEO-23001-PE-LOG-001-MOD PRODUCAO-R01","NEO-23001-AS-LOG-001-PROD1-R00","","","","","",""]
ROW 76: [76,45939,"013. SM 41 - 09.10.2025","OCLE","Prédio Produção","PCI","NEO-23001-AS-PCI-MO-002-SPRINKLER 09.10-R16","rvt","Sim","NEO-23001-PE-16-PCI-MO-002-R16","NEO-23001-AS-PCI-002-PROD1-R00","","","","","",""]
ROW 77: [77,45939,"013. SM 41 - 09.10.2025","OCLE","Prédio Produção","Climatização","NEO-23001-AS-CLI 09.10-000-R18","rvt","Sim","NEO-23001-PE-CLI-000-R18","NEO-23001-AS-CLI-001-PROD1-R00","","","","","",""]
ROW 78: [78,45939,"013. SM 41 - 09.10.2025","OCLE","Prédio Produção","Utilidades","NEO-23001-AS-17-UTI-MO 09.10-001-R25","rvt","Sim","NEO-23001-PE-17-UTI-MO-001-R25","NEO-23001-AS-UTI-001-PROD1-R00","","","","","",""]
ROW 79: [79,45939,"013. SM 41 - 09.10.2025","OCLE","Prédio Suporte","Utilidades","NEO-23001-AS-17-UTI-MO 09.10-004-R00","rvt","Sim","NEO-23001-PE-17-UTI-MO-004-R00","NEO-23001-AS-UTI-001-SUPO1-R00","","","","","",""]
ROW 80: [80,45939,"013. SM 41 - 09.10.2025","OCLE","Prédio Produção","SDAI","NEO-23001-AS-SDA-003-MOD PRODUCAO 09.10-R03","rvt","Sim","NEO-23001-PE-SDA-003-MOD PRODUCAO-R03","NEO-23001-AS-SDA-001-PROD1-R00","","","","","",""]
ROW 81: [81,45953,"014. SM 43 - 23.10.2025","OCLE","Prédio Produção","Instalações Elétricas","NEO-23001-AS-ELE-001-MOD PRODUCAO 23.10-R03","rvt","Sim","NEO-23001-PE-ELE-001-MOD PRODUCAO-R03","NEO-23001-AS-ELE-001-PROD1-R00","","","","","",""]
